Symbol,Current Price,Current Assets (Millions),Market Cap (Millions),Most Recent Financial Date,Current Assets Per Share
AAPL,202.82,118674.0,3029278.92,2025-03-31,7.95
ABBV,187.34,27675.0,330917.38,2025-03-31,15.67
ABT,132.96,23153.0,231329.14,2025-03-31,13.31
ADBE,413.91,10855.0,176408.44,2025-02-28,25.47
ADI,218.5,5733.08,108430.19,2025-01-31,11.55
ADMA,20.33,351.81,4853.46,2025-03-31,1.47
ADP,326.21,46536.8,132545.97,2025-03-31,114.53
ADSK,298.36,3482.0,64080.56,2025-01-31,16.21
AMAT,161.93,20694.0,129948.49,2025-01-31,25.79
AMD,118.58,21595.0,192265.62,2025-03-31,13.32
AMT,214.36,3506.1,100350.06,2025-03-31,7.49
ANET,94.94,12276.3,119237.05,2025-03-31,9.77
APD,280.21,5187.6,63044.44,2025-03-31,23.06
ASML,742.78,27524.4,292061.12,2025-03-31,70.0
AVGO,261.08,20990.0,1227585.09,2025-01-31,4.46
AXON,780.0,3776.59,60723.63,2025-03-31,48.51
BIIB,131.86,7626.0,19321.18,2025-03-31,52.04
BKNG,5557.0,19950.0,180826.44,2025-03-31,613.09
BSX,102.43,7335.0,152530.57,2025-03-31,4.93
BYDDF,52.5,409994.23,149296.43,2025-03-31,144.17
CARR,71.39,8444.0,61203.36,2025-03-31,9.85
CAT,349.33,43019.0,164295.13,2025-03-31,91.47
CCI,100.23,1085.0,43646.06,2025-03-31,2.49
CCJ,59.95,1500.12,26097.25,2025-03-31,3.45
CDNS,294.4,3998.09,80383.56,2025-03-31,14.64
CEG,299.54,9631.0,98108.94,2025-03-31,29.4
CL,90.2,5814.0,73440.3,2025-03-31,7.14
CLSK,9.53,947.49,2677.4,2025-03-31,3.37
COP,85.95,16906.0,110978.64,2025-03-31,13.09
CPRT,50.38,4966.78,49280.41,2025-01-31,5.08
CRM,263.17,29727.0,251590.52,2025-01-31,31.1
CRWD,460.56,6113.35,121737.52,2025-01-31,23.13
CSCO,64.39,34681.0,254984.4,2025-01-31,8.76
CSX,31.93,3020.0,59982.1,2025-03-31,1.61
CTAS,227.37,3341.43,91893.86,2025-02-28,8.27
CVX,137.37,38574.0,237956.43,2025-03-31,22.27
DASH,220.23,7853.0,90554.17,2025-03-31,19.1
DDOG,119.7,5076.34,40979.65,2025-03-31,14.83
DHI,123.53,34402.6,37946.07,2025-03-31,111.99
DHR,193.08,9525.0,138181.57,2025-03-31,13.31
DXCM,85.61,4553.8,34031.0,2025-03-31,11.46
ECL,267.04,6081.1,75709.31,2025-03-31,21.45
EL,68.83,7017.0,24797.73,2025-03-31,19.48
EMR,121.61,8627.0,68405.62,2025-03-31,15.34
EOG,110.77,10680.0,61575.71,2025-03-31,19.21
EQIX,912.2,5505.0,89230.49,2025-03-31,56.28
ETN,327.08,12434.0,127986.4,2025-03-31,31.78
EW,77.85,6212.7,45666.81,2025-03-31,10.59
FCX,40.86,13802.0,58683.13,2025-03-31,9.61
FTNT,101.62,6442.6,78746.05,2025-03-31,8.31
GEV,488.13,33936.0,134548.64,2025-03-31,123.12
GOOG,169.39,162052.0,2024904.98,2025-03-31,13.56
HD,372.4,31683.0,370511.18,2025-01-31,31.84
HUBS,599.29,2613.87,31648.32,2025-03-31,49.5
IBM,265.52,35336.0,246773.48,2025-03-31,38.02
IDXX,524.86,1317.61,42288.23,2025-03-31,16.35
INTU,766.81,9135.0,213899.36,2025-01-31,32.75
ISRG,557.95,7657.8,199979.32,2025-03-31,21.37
ITW,246.51,6037.0,72317.66,2025-03-31,20.58
JCI,102.33,11350.0,67337.95,2025-03-31,17.25
JD,33.33,357230.0,48045.2,2025-03-31,247.82
JNJ,153.22,71551.0,368658.06,2025-03-31,29.74
KLAC,782.09,9945.02,103424.37,2025-03-31,75.2
KO,71.37,26178.0,307195.74,2025-03-31,6.08
LIN,473.77,13597.0,223014.91,2025-03-31,28.89
LLY,765.84,41261.2,687522.19,2025-03-31,45.96
LOW,228.39,20358.0,128228.19,2025-01-31,36.26
LRCX,84.77,13460.32,108431.0,2025-03-31,10.52
LULU,335.19,3980.3,40241.23,2025-01-31,33.15
MCHP,64.67,2995.8,34882.93,2024-12-31,5.55
MCK,709.46,55398.0,89360.04,2025-03-31,439.82
MCO,485.52,4565.0,87363.49,2025-03-31,25.37
MDLZ,66.63,12730.0,86804.23,2025-03-31,9.77
MDT,85.6,22513.0,109733.21,2025-01-31,17.56
MMM,146.81,15657.0,79720.77,2025-03-31,28.83
MNST,63.16,4135.42,62406.0,2025-03-31,4.19
MRK,78.27,35503.0,196538.32,2025-03-31,14.14
MRVL,66.3,3120.3,57163.86,2025-01-31,3.62
MSFT,463.87,156644.0,3447732.31,2025-03-31,21.08
MSI,417.4,5899.0,70473.4,2025-03-31,34.94
MSTR,378.1,203.61,107501.4,2025-03-31,0.72
MU,103.25,24689.0,115389.1,2025-02-28,22.09
NEM,55.28,10740.0,61526.63,2025-03-31,9.65
NET,170.92,2624.29,59814.48,2025-03-31,7.5
NKE,62.77,24609.0,92647.89,2025-02-28,16.67
NOW,1012.74,9270.0,209791.11,2025-03-31,44.75
NVDA,141.92,80126.0,3461088.28,2025-01-31,3.29
NVO,72.04,174395.0,318090.48,2025-03-31,39.5
NXPI,210.02,8025.0,53057.14,2025-03-31,31.77
OKTA,105.6,3365.0,18134.05,2025-04-30,19.6
ORCL,168.1,30116.0,474307.62,2025-02-28,10.67
ORLY,1366.59,6029.47,78193.54,2025-03-31,105.38
